canonical_code_id,canonical_code,raw_code_variants,count_segments_in_sample,count_reviews_in_sample,count_papers_in_sample,years_observed_in_sample,strength_count_in_sample,weakness_count_in_sample,full_review_count_in_sample,mean_review_score_in_sample,acceptance_rate_in_sample
CC000470,Adversarial robustness research contributions,Adversarial robustness research contributions,1,1,1,2023,0,0,1,6.0,0.0
CC000658,Application of randomized smoothing for robustness,Application of randomized smoothing for robustness; Generalization of randomized smoothing for robustness certification,2,2,2,2020; 2021,0,0,2,4.0,0.5
CC000710,Assumptions and clarity issues in methodology,Lack of assumption clarity; Lack of clarity and justification in assumptions and methodology; Lack of clarity and strong assumptions,3,3,3,2022; 2024; 2025,0,2,1,6.0,0.0
CC000809,Bayesian approach for domain generalization,Novel Bayesian approach for domain generalization,1,1,1,2021,0,0,1,6.0,0.0
CC000820,Bellman unbiasedness,bellman-unbiasedness,1,1,1,2025,1,0,0,6.0,0.0
CC000852,Bi-level optimization framework,Bi-level optimization framework,1,1,1,2025,1,0,0,5.0,0.0
CC000907,Broad applicability of pruning method,Comparative analysis of pruning methods; Effective new pruning methods proposed; Innovative pruning approaches proposed,3,3,3,2020; 2021,0,0,3,3.3333333333333335,0.3333333333333333
CC000969,Challenges in GAN training stability,Innovative GAN training model with improved stability; novel GAN training methodology with stability improvements; novel approach to GAN training stability; novel insights on GAN training stability,4,4,3,2020,0,0,4,4.5,0.0
CC001046,Clarifications and comparisons needed,Need for clarity and additional comparisons,1,1,1,2022,0,0,1,5.0,0.0
CC001098,Clarity and effective experimentation,Clarity and comprehensive experimentation; Clarity and effective experimentation,2,2,2,2023; 2024,1,0,1,4.5,0.0
CC001113,Clarity and novelty in addressing Byzantine attacks,Novelty and clarity in addressing Byzantine attacks,1,1,1,2022,0,0,1,8.0,0.0
CC001116,Clarity and novelty of algorithm,Lack of clarity in algorithm's novelty and analysis,1,1,1,2024,0,1,0,6.0,1.0
CC001136,Clarity and strong empirical performance,Clarity and strong empirical performance; Strong empirical performance and clarity,2,2,2,2024,2,0,0,5.5,0.0
CC001137,Clarity and strong experimental results,Clarity and strong experimental results,1,1,1,2024,1,0,0,3.0,0.0
CC001138,Clarity and strong experimental support,Clarity and strong experimental support,1,1,1,2024,1,0,0,8.0,1.0
CC001201,Clear and accessible writing,clear and accessible writing,1,1,1,2024,1,0,0,3.0,0.0
CC001291,Clear communication and comprehensive experiments,Clear communication and comprehensive experiments,1,1,1,2024,1,0,0,6.0,1.0
CC001480,Clear exposition and novel contributions,Novel contribution and clear exposition,1,1,1,2024,1,0,0,8.0,1.0
CC001604,Clear methodology and consistent experimental improvements,Clear methodology and significant experimental improvements,1,1,1,2023,0,0,1,3.0,0.0
CC001611,Clear methodology and effective experiments,Clear methodology and comprehensive experiments,1,1,1,2024,1,0,0,5.0,1.0
CC001619,Clear methodology and empirical validation,Strong empirical validation and clear methodology,1,1,1,2024,1,0,0,6.0,0.0
CC001657,Clear methodology and strong experimental results,Clear methodology and strong experimental evaluations; Clear methodology and strong experimental results; Impressive experimental results and clear methodology,3,3,3,2022; 2023; 2024,1,0,2,8.0,1.0
CC001659,Clear methodology and strong performance,Clear methodology and improved performance; Clear methodology and significant performance improvement; Clear methodology and strong performance; Clear methodology and superior performance,5,5,5,2023; 2024,1,0,4,6.0,0.4
CC001675,Clear methodology with practical applications,Clear methodology with practical applications,1,1,1,2024,1,0,0,6.0,1.0
CC001694,Clear motivation and accessible presentation,clear motivation and accessible presentation,1,1,1,2023,0,0,1,6.0,0.0
CC001705,Clear motivation and contributions; thorough ablation study,Clear motivation and structure; relevant evaluations and ablation studies; Strong motivation and clear figures; extensive experiments and satisfactory ablation study.,2,2,2,2023; 2024,1,0,1,6.5,0.5
CC001712,Clear motivation and effective architecture,Clear motivation and effective architecture,1,1,1,2024,1,0,0,3.0,0.0
CC001716,Clear motivation and effective experiments,"Clear motivation and extensive experiments; Clear motivations and well-structured experiments; Strong motivation and thorough experimentation; high motivation and extensive experimentation; strong-motivation, clear-method, promising-experiments",5,5,5,2022; 2024; 2025,2,0,3,6.2,0.4
CC001800,Clear motivation and robust method,clear motivation and robust methodology,1,1,1,2024,1,0,0,6.0,0.0
CC001812,Clear motivation and strong empirical results,"Clear motivation and strong empirical evaluation; Clear motivation and strong empirical performance; Clear motivation, strong empirical results, and reproducibility",3,3,3,2022; 2024,2,0,1,7.333333333333333,0.6666666666666666
CC001814,Clear motivation and strong results,strong motivation and clear results,1,1,1,2024,1,0,0,5.0,0.0
CC001815,Clear motivation and strong theoretical support,Clear motivation and strong theoretical support,1,1,1,2024,1,0,0,8.0,1.0
CC001823,Clear motivation and theoretical justification,Clear motivation and strong theoretical justification,1,1,1,2024,1,0,0,6.0,1.0
CC001824,Clear motivation and thorough analysis,Clear motivation and thorough analysis; Strong motivation and thorough analysis,2,2,2,2023; 2024,1,0,1,6.5,0.5
CC001835,Clear motivation and well-written,Clear motivation and well-written,1,1,1,2024,1,0,0,5.0,1.0
CC001918,Clear organization and strong empirical results,Clear organization and strong empirical evaluation; Clear organization and strong empirical results; Clear organization and strong empirical support,3,3,3,2023,0,0,3,6.333333333333333,0.3333333333333333
CC001920,Clear organization and strong experimental results,Clear organization and effective experimental results; Clear organization and strong experimental results,2,2,2,2024,2,0,0,5.5,0.5
CC001955,Clear presentation and correct proof,Clear presentation and correct proof,1,1,1,2023,0,0,1,6.0,1.0
CC001961,Clear presentation and effective method ablation,"clear+presentation,ablation+study,effective+method",1,1,1,2025,1,0,0,5.0,1.0
CC001967,Clear presentation and efficient method,Clear presentation and efficient method,1,1,1,2024,1,0,0,8.0,1.0
CC001968,Clear presentation and empirical validation,Clear presentation and empirical validation,1,1,1,2023,0,0,1,6.0,0.0
CC001972,Clear presentation and extensive experimentation,Clear presentation and thorough experimentation,1,1,1,2023,0,0,1,6.0,1.0
CC002004,Clear presentation and logical structure,Clear presentation and logical structure,1,1,1,2022,0,0,1,6.0,1.0
CC002031,Clear presentation and robust empirical evaluation,Clear presentation and robust empirical evaluation; Clear presentation and robust empirical investigation,2,2,2,2022; 2023,0,0,2,6.5,0.0
CC002037,Clear presentation and significant performance improvement,Clear presentation and significant performance improvement,1,1,1,2023,0,0,1,5.0,0.0
CC002052,Clear presentation and strong empirical support,Clear presentation and strong empirical evaluation; Clear presentation and verified empirical evidence; Strong empirical results and clear presentation,3,3,3,2022; 2024,2,0,1,5.333333333333333,0.0
CC002054,Clear presentation and strong experimental results,"Broad experiments and clear presentation; Well-executed, clear presentation, effective experiments",2,2,2,2022; 2024,1,0,1,5.0,0.0
CC002062,Clear presentation and strong theoretical foundation,Clear presentation and strong theoretical contributions,1,1,1,2024,1,0,0,8.0,1.0
CC002117,Clear problem definition and convincing experiments,Clear problem definition and extensive experimental support; Clear problem definition and strong performance in experiments,2,2,2,2022; 2023,0,0,2,6.0,1.0
CC002130,Clear problem description and innovative techniques,Innovative problem addressing and clear methodology,1,1,1,2022,0,0,1,5.0,1.0
CC002201,Clear readability,Clear readability,1,1,1,2024,1,0,0,3.0,0.0
CC002205,Clear readability and strong experimental results,Clear readability and strong experimental evaluation,1,1,1,2023,0,0,1,8.0,1.0
CC002224,Clear structure and comprehensive experiments,Clear structure and comprehensive experiments,1,1,1,2024,1,0,0,8.0,0.0
CC002237,Clear structure and effective methodology,Clear structure and effective methodology; Sensible methodology and clear structure,3,3,3,2023; 2024,2,0,1,5.666666666666667,0.6666666666666666
CC002279,Clear structure and robust theoretical framework,robust theoretical framework and clear methodology,1,1,1,2023,0,0,1,6.0,0.0
CC002288,Clear structure and strong experimental results,Clear structure and strong experimental results,1,1,1,2024,1,0,0,3.0,0.0
CC002292,Clear structure and strong theoretical foundation,Strong theoretical foundation and clear structure,1,1,1,2023,0,0,1,5.0,0.0
CC002404,Clear writing and diverse datasets,Clear writing and diverse datasets,1,1,1,2024,1,0,0,5.0,1.0
CC002415,Clear writing and effective algorithm,Clear writing and innovative algorithmic approach; Clear writing and useful algorithm; clear writing and innovative algorithms,3,3,3,2023; 2024,2,0,1,4.666666666666667,0.0
CC002428,Clear writing and effective examples,Clear writing and effective examples,1,1,1,2022,0,0,1,8.0,1.0
CC002442,Clear writing and effective methodology,Clear writing and effective methodology; Clear writing and methodology; Clear writing and strong methodology; clear-writing-effective-method,5,5,5,2024; 2025,5,0,0,6.6,0.6
CC002445,Clear writing and effective model design,Clear writing and efficient model design,1,1,1,2024,1,0,0,3.0,0.0
CC002469,Clear writing and engaging topic,clear writing and engaging topic,1,1,1,2023,0,0,1,1.0,0.0
CC002571,Clear writing and intuitive method,intuitive method and clear writing,1,1,1,2024,1,0,0,6.0,0.0
CC002599,Clear writing and novel approach,"Novel idea, clear writing",1,1,1,2025,1,0,0,6.0,1.0
CC002603,Clear writing and novel approach with guarantees,Clear writing and novel approach with guarantees,1,1,1,2024,1,0,0,6.0,1.0
CC002613,Clear writing and novel insights,Clear writing and novel insights,1,1,1,2023,0,0,1,6.0,1.0
CC002698,Clear writing and relevant topic,Clear writing and relevant topic,1,1,1,2024,1,0,0,5.0,0.0
CC002723,Clear writing and significant results,Clear writing and significant results,2,2,2,2024,2,0,0,6.0,0.5
CC002752,Clear writing and strong comparisons,Clear writing and strong comparisons,1,1,1,2022,0,0,1,5.0,0.0
CC002759,Clear writing and strong empirical validation,Clear writing and strong empirical validation,1,1,1,2023,0,0,1,6.0,1.0
CC002761,Clear writing and strong experimental comparisons,Clear writing and detailed comparisons with extensive experiments,1,1,1,2024,1,0,0,5.0,0.0
CC002762,Clear writing and strong experimental design,Clear writing and comprehensive experimental setup; Clear writing and thorough experimental design,2,2,2,2023; 2024,1,0,1,6.0,0.5
CC002764,Clear writing and strong experimental results,"Clear writing and diverse experiments; Clear writing and strong experimental results; Thorough experiments and clear writing; Thorough experiments, clear writing, interesting results",5,5,5,2022; 2023,0,0,5,4.6,0.4
CC002779,Clear writing and strong motivation,Clear and well-motivated writing; Clear motivation and well-structured writing; Strong motivation and clear writing,3,3,3,2024,3,0,0,5.333333333333333,0.3333333333333333
CC002792,Clear writing and strong numerical results,Clear writing and strong numerical results,1,1,1,2024,1,0,0,3.0,1.0
CC002795,Clear writing and strong performance,Clear writing and significant performance gains; clear writing and strong performance,2,2,2,2023; 2024,1,0,1,5.0,0.0
CC002802,Clear writing and strong research question,Clear writing and significant research problem; Clear writing and strong research question,2,2,2,2023,0,0,2,4.5,0.5
CC002803,Clear writing and strong results,"Clear writing and strong results; valuable-results, clear-writing",2,2,2,2024; 2025,2,0,0,5.5,0.5
CC002810,Clear writing and strong theoretical foundation,Clear writing and strong empirical observations; Clear writing and strong theoretical analysis; Clear writing and strong theoretical results; Strong empirical and theoretical analysis; clear writing,4,4,4,2022; 2023; 2024,2,0,2,4.25,0.0
CC002812,Clear writing and strong theoretical insights,Clear writing and theoretical insights,1,1,1,2024,1,0,0,6.0,0.0
CC002817,Clear writing and structure,Clear writing and structure,1,1,1,2023,0,0,1,5.0,0.0
CC002844,Clear writing and thorough analysis,Clear writing and thorough analyses; Clear writing and thorough analysis; clear writing and comprehensive analysis,3,3,3,2022; 2023,0,0,3,6.666666666666667,1.0
CC002847,Clear writing and thorough evaluation,Clear writing and thorough evaluation; Clear writing and valuable evaluations,2,2,2,2022; 2024,1,0,1,4.0,0.0
CC002865,Clear writing and valuable analysis for future research,Clear writing and valuable analysis for future research,1,1,1,2024,1,0,0,5.0,1.0
CC002866,Clear writing and valuable benchmarks,Clear writing and strong benchmark evaluation,1,1,1,2024,1,0,0,5.0,0.0
CC002877,Clear writing and valuable visualizations,Clear writing and effective visualizations; Clear writing and valuable visualizations; Effective visualizations and clear writing,3,3,3,2023; 2024,2,0,1,4.666666666666667,0.3333333333333333
CC003008,Compare Optimization Methods,Compare Optimization Methods,1,1,1,2025,0,1,0,6.0,0.0
CC003254,Comprehensive benchmarking of RL algorithms,Proposed benchmarks for evaluating RL algorithms; Valuable benchmark for RL algorithm evaluation,2,2,2,2020; 2021,0,0,2,5.5,0.5
CC003317,Comprehensive experimental evaluation,Extensive evaluation and strong experimental results,1,1,1,2023,0,0,1,6.0,1.0
CC003401,Comprehensive study,Comprehensive studies,1,1,1,2025,1,0,0,5.0,0.0
CC003419,Comprehensive theoretical analysis,comprehensive theoretical analysis,1,1,1,2023,0,0,1,5.0,0.0
CC003786,Confusing organization and unclear contributions,Confusing organization and unclear contributions,1,1,1,2023,0,0,1,6.0,1.0
CC003841,Connection of graph convolutional networks and label propagation,Connection of graph convolutional networks and label propagation,1,1,1,2020,0,0,1,1.0,0.0
CC003924,Contribution to adversarial training understanding,Contribution to adversarial training understanding; Significant contributions to understanding adversarial training,2,2,2,2022,0,0,2,6.0,0.0
CC003951,Contributions on self-attention and equivariance,Novel insights on self-attention and equivariance,1,1,1,2023,0,0,1,5.0,0.0
CC004315,Detailed explanation and thorough experimental results,Detailed explanation and thorough experimental results; Detailed explanations and comprehensive experimental results,2,2,2,2023; 2024,1,0,1,6.0,0.5
CC004468,Diverse dataset experimentation,diverse-datasets-experimentation,1,1,1,2025,0,1,0,6.0,1.0
CC004790,Effective analysis of NAS methods,Innovative analysis of NAS methods and effective new evaluation approach,1,1,1,2021,0,0,1,7.0,1.0
CC004792,Effective analysis of SGD under label noise,Effective analysis of SGD under label noise; Strong results on SGD behavior and label noise,2,2,2,2021; 2022,0,0,2,7.0,0.5
CC004879,Effective approach for missing data modeling,Innovative approach to missing data modeling,1,1,1,2022,0,0,1,6.0,1.0
CC004939,Effective block-wise quantization with strong experimental validation,Effective block-wise quantization with strong experimental validation; Innovative block-level quantization approach with strong experimental validation,2,2,1,2021,0,0,2,7.5,1.0
CC005026,Effective data augmentation approach,Effective data augmentation approach; Effective data augmentation strategy; Efficient data augmentation method; Insightful theory on data augmentation effects; Novel approach to data augmentation and strong performance metrics,5,5,5,2020; 2022; 2023; 2024,1,0,4,5.4,0.2
CC005031,Effective data augmentation method for robustness,Effective data augmentation method for robustness; Robust data augmentation method with empirical validation,2,2,2,2020; 2021,0,0,2,3.5,0.0
CC005049,Effective defense against backdoor attacks,Effective defense against backdoor attacks,2,2,2,2022; 2023,0,0,2,4.0,0.0
CC005053,Effective defense against model stealing attacks,Effective defense against model stealing attacks; Promising defense against model stealing,2,2,2,2020; 2021,0,0,2,6.0,1.0
CC005103,Effective diverse sampling approach for GNNs,Effective diverse sampling approach for GNNs; Effective empirical evaluation of diverse sampling in GNNs,2,2,1,2021,0,0,2,3.5,0.0
CC005135,Effective enhancement of offline RL algorithms,Effective enhancement of offline RL algorithms; Performance enhancement for offline RL algorithms,2,2,2,2024,2,0,0,5.0,1.0
CC005290,Effective handling of data heterogeneity in federated learning,Effective handling of data heterogeneity in federated learning,1,1,1,2022,0,0,1,5.0,0.0
CC005440,Effective low-bit quantization technique,Effective low-bit quantization technique; Generalization of low-bit quantization methods,2,2,2,2020; 2021,0,0,2,5.5,0.5
CC005496,Effective method for disentangled representations,Effective algorithm for disentangled representation; Effective method for disentangled representations,2,2,2,2020,0,0,2,3.0,0.5
CC005560,Effective method with strong experimental validation,Effective and simple method with strong experimental validation,1,1,1,2023,0,0,1,3.0,0.0
CC005570,Effective methodology and clear presentation,Clear methodology and presentation; Effective methodology and clear presentation,2,2,2,2024,2,0,0,7.0,1.0
CC005582,Effective methods for transferable adversarial examples,Effective methods for transferable adversarial examples; Proposed effective methods for adversarial example transferability,2,2,1,2020,0,0,2,4.5,1.0
CC005853,Effective prompting strategies,Intuitive and effective prompting strategy,1,1,1,2024,1,0,0,8.0,1.0
CC005874,Effective rebuttal addressing concerns,Effective rebuttal addressing concerns,1,1,1,2021,0,0,1,7.0,1.0
CC005955,Effective separation of exploration and exploitation in meta-RL,Well-structured meta-RL approach with clear separation of exploration and exploitation,1,1,1,2021,0,0,1,7.0,0.0
CC005966,Effective simplicity and strong experimental validation,Effective simplicity and strong experimental validation,1,1,1,2023,0,0,1,6.0,1.0
CC006106,Effective unsupervised multi-view disentanglement,Novel framework for unsupervised multi-view disentanglement,1,1,1,2021,0,0,1,5.0,0.0
CC006192,Effective use of information bottleneck principle,novel application of information bottleneck principle,1,1,1,2024,1,0,0,3.0,0.0
CC006489,Efficient uncertainty quantification methodology,thorough analysis of uncertainty quantification methods,1,1,1,2024,1,0,0,1.0,0.0
CC006758,Engaging problem and clear presentation,engaging problem and clear presentation; engaging problem statement and clear presentation,2,2,2,2024,2,0,0,4.5,0.0
CC006804,Enhanced data augmentation for contrastive learning,Enhanced data augmentation for contrastive learning; Innovative data augmentation method for contrastive learning; New insights on contrastive learning and data augmentation,3,3,3,2021; 2022,0,0,3,6.0,0.3333333333333333
CC006827,Enhanced performance and clarity,Limited clarity and performance improvement,1,1,1,2024,0,1,0,8.0,1.0
CC006859,Enhances efficiency,Enhances efficiency,1,1,1,2025,1,0,0,5.0,1.0
CC007081,Exploration of deployment efficiency in RL,Exploration of deployment efficiency in RL,1,1,1,2021,0,0,1,8.0,1.0
CC007185,Exposition clarity issues,Lack of clarity and exposition; Lack of clarity and formal exposition,2,2,2,2024,0,2,0,5.0,0.0
CC007277,Extensive empirical study on multi-task learning,Extensive empirical study on multi-task learning; Theoretical and empirical contributions to multi-task learning,2,2,2,2020,0,0,2,6.0,0.5
CC007282,Extensive evaluation and strong performance,Extensive evaluation and strong performance; Strong performance and comprehensive evaluation,2,2,2,2024,2,0,0,5.0,0.0
CC007645,Focus on robustness to adversarial examples,Robustness to adversarial examples and overfitting insights,1,1,1,2021,0,0,1,8.0,1.0
CC007721,Foundational theory for attention mechanisms,Foundational theory for attention mechanisms,1,1,1,2021,0,0,1,8.0,1.0
CC007766,GAN-based text generation approach,GAN-based text generation approach; Innovative GAN-based text generation approach,2,2,2,2020; 2021,0,0,2,3.5,0.0
CC007834,Generalizability limits,Generalizability limits,1,1,1,2025,0,1,0,8.0,1.0
CC007861,Generalization and robustness concerns,Theoretical insights on generalization and robustness,1,1,1,2023,0,0,1,8.0,0.0
CC007868,Generalization bounds for GNNs,Generalization bounds for GNNs,1,1,1,2021,0,0,1,7.0,1.0
CC008023,Handling missing data effectively,Handling missing data effectively; Simplicity in handling missing data,2,2,2,2022; 2023,0,0,2,4.5,0.0
CC008213,High-quality writing and thorough analysis,High-quality writing and thorough analysis,1,1,1,2024,1,0,0,3.0,0.0
CC008293,Hyper-parameter optimization,novel approach to hyper-parameter optimization,1,1,1,2022,0,0,1,5.0,1.0
CC008309,Hyperparameter tuning issues,Hyperparameter tuning difficulty,1,1,1,2025,0,1,0,8.0,1.0
CC008397,Illuminating analysis of double descent phenomenon,Illuminating analysis of double descent phenomenon,1,1,1,2022,0,0,1,5.0,0.0
CC008615,Important problem,Important problem; important-problem,2,2,2,2025,2,0,0,1.0,0.0
CC008751,Improved accuracy and robustness without architecture changes,Improved accuracy and robustness without architecture changes,1,1,1,2022,0,0,1,5.0,0.0
CC008761,Improved adversarial defense method,Effective adversarial defense method,1,1,1,2020,0,0,1,3.0,0.0
CC008857,Improved generalization through regularization,Effective regularization technique for improved generalization; Improved generalization through regularization,2,2,2,2020; 2021,0,0,2,4.0,0.0
